date,region,market_id,campaign_id,campaign_name,channel,device,audience_segment,incentive_spend,marketing_spend,total_spend,orders_placed,orders_fulfilled,orders_unfulfilled,shoppers_active,shoppers_needed,supply_gap,gross_revenue,net_revenue,avg_order_value,new_customers,customer_ltv,customer_retention_rate,impressions,clicks,click_through_rate,conversion_rate,avg_delivery_time_min,order_cancellations,satisfaction_score
1/1/2025,Midwest,MI01,LOYALTY_Q1,Loyalty Rewards,Social,Desktop,Lapsed,9061,1636.25,10697.25,1135,1127,8,321,470,149,67002.61,56305.36,59.45,417,85498.82,0.37,47427,4769,0.1006,0.2363,64.94,49,6.8
1/1/2025,West,WE02,LOYALTY_Q1,Loyalty Rewards,Referral,Desktop,New,7460.03,12485.29,19945.32,712,652,60,415,383,-32,70573.55,50628.23,108.24,21,4933.58,0.39,55400,3794,0.0685,0.1719,118.57,20,8.2
1/1/2025,Midwest,MI05,INC_Q1_BONUS,Winter Shopper Incentive,Email,Desktop,Returning,4444.79,13438.5,17883.29,1714,1600,114,169,164,-5,138695.58,120812.29,86.68,399,62741.25,0.32,45535,2529,0.0555,0.6327,111.09,76,8.5
1/1/2025,Southeast,SO03,LOYALTY_Q1,Loyalty Rewards,Social,Desktop,New,9387.1,3600.26,12987.36,1843,1691,152,471,575,104,49438.17,36450.81,29.24,409,93061.06,0.36,77524,5623,0.0725,0.3007,75.14,23,7.4
1/1/2025,West,WE01,LOYALTY_Q1,Loyalty Rewards,Social,Desktop,Lapsed,3594.01,6517.9,10111.91,1167,999,168,135,103,-32,71556.7,61444.79,71.63,104,31086.58,0.21,66449,5141,0.0774,0.1943,102.87,53,7.9
1/1/2025,Northeast,NO02,INC_Q1_BONUS,Winter Shopper Incentive,Social,Desktop,New,3219.66,4464.48,7684.14,944,897,47,407,443,36,55408.46,47724.32,61.77,89,23767.52,0.45,82335,7696,0.0935,0.1166,93.88,38,7.6
1/1/2025,Northeast,NO05,INC_Q1_BONUS,Winter Shopper Incentive,Email,Mobile,Lapsed,2542.55,11018.9,13561.45,1518,1497,21,191,226,35,174526.06,160964.61,116.58,341,55489.54,0.41,38436,1142,0.0297,1.3109,49.61,16,6.8
1/1/2025,Southeast,SO03,LOYALTY_Q1,Loyalty Rewards,Email,Desktop,Lapsed,2483.95,5294.82,7778.77,568,559,9,324,277,-47,26521.87,18743.1,47.45,125,26387.38,0.63,44773,3322,0.0742,0.1683,99.17,16,6.9
1/1/2025,West,WE04,CUST_RET_Q1,Customer Retargeting,Email,Mobile,Lapsed,8379.43,12227.25,20606.68,424,402,22,194,324,130,23047.28,2440.6,57.33,131,28406.1,0.51,22248,691,0.0311,0.5818,85.85,4,7.8
1/1/2025,West,WE02,INC_Q1_BONUS,Winter Shopper Incentive,Social,Mobile,Lapsed,9710.56,3430.95,13141.51,932,798,134,180,153,-27,54206.23,41064.72,67.93,147,26536.2,0.4,41854,1625,0.0388,0.4911,88.93,41,8.1
1/1/2025,Midwest,MI03,LOYALTY_Q1,Loyalty Rewards,Social,Desktop,Lapsed,7314.26,2838.02,10152.28,996,974,22,435,440,5,30343.35,20191.07,31.15,101,25535.04,0.33,54096,939,0.0174,1.0373,42.75,44,7.9
1/1/2025,West,WE04,LOYALTY_Q1,Loyalty Rewards,Referral,Desktop,Lapsed,8283.07,11843.06,20126.13,1944,1668,276,194,232,38,165230.77,145104.64,99.06,15,3978.26,0.49,99717,11589,0.1162,0.1439,47.16,12,7.6
1/1/2025,Midwest,MI02,NEW_USER_Q1,New User Acquisition,Social,Desktop,New,7068.17,5561.7,12629.87,855,815,40,229,352,123,94799.61,82169.74,116.32,120,17764.04,0.79,52599,5185,0.0986,0.1572,118.52,4,8
1/2/2025,Northeast,NO04,INC_Q1_BONUS,Winter Shopper Incentive,Email,Mobile,New,6920.49,7198.04,14118.53,736,704,32,290,263,-27,23118.96,9000.43,32.84,28,5622.54,0.4,32007,1548,0.0484,0.4548,37.15,36,8.7
1/2/2025,Southeast,SO01,CUST_RET_Q1,Customer Retargeting,Paid Search,Desktop,Returning,4429.61,7900.1,12329.71,210,188,22,317,448,131,8773.49,-3556.22,46.67,38,6308.9,0.78,86179,5659,0.0657,0.0332,98.61,6,8.3
1/2/2025,Southeast,SO04,LOYALTY_Q1,Loyalty Rewards,Social,Desktop,Returning,5317.07,3630.89,8947.96,692,648,44,227,316,89,41722.08,32774.12,64.39,288,61884.78,0.68,17767,1544,0.0869,0.4197,77.99,2,8.8
1/2/2025,Northeast,NO04,CUST_RET_Q1,Customer Retargeting,Email,Mobile,Returning,7214.96,14541.69,21756.65,126,125,1,348,486,138,11852.3,-9904.35,94.82,489,106878.14,0.2,24386,1068,0.0438,0.117,33.63,4,7
1/2/2025,Southeast,SO05,CUST_RET_Q1,Customer Retargeting,Email,Mobile,Lapsed,5877.68,11520.34,17398.02,802,726,76,479,491,12,18191.61,793.59,25.06,21,3205.1,0.3,47142,1951,0.0414,0.3721,50.35,20,6.3
1/2/2025,Midwest,MI03,CUST_RET_Q1,Customer Retargeting,Paid Search,Desktop,Returning,7491.22,3917.59,11408.81,716,703,13,240,299,59,18075.34,6666.53,25.71,487,55541.32,0.33,12772,171,0.0134,4.1111,48.85,12,8
1/2/2025,Midwest,MI03,CUST_RET_Q1,Customer Retargeting,Paid Search,Desktop,Lapsed,6504.18,11165.56,17669.74,1830,1641,189,131,155,24,138700.37,121030.63,84.52,201,42012.44,0.44,40867,1948,0.0477,0.8424,47.88,15,8.4
1/2/2025,Midwest,MI04,CUST_RET_Q1,Customer Retargeting,Email,Mobile,Lapsed,5884.66,5961.94,11846.6,837,763,74,411,414,3,49720.06,37873.46,65.16,359,101380.08,0.31,4883,432,0.0885,1.7662,38.56,31,6.4
1/2/2025,Southeast,SO01,CUST_RET_Q1,Customer Retargeting,Social,Mobile,New,8899.97,7609.63,16509.6,230,197,33,220,269,49,21273.09,4763.49,107.99,66,14044.76,0.71,75095,6646,0.0885,0.0296,50.56,6,6.6
1/2/2025,Southeast,SO01,CUST_RET_Q1,Customer Retargeting,Referral,Desktop,New,2501,14283.84,16784.84,804,793,11,81,128,47,48955.69,32170.85,61.73,360,96406.83,0.65,58263,6016,0.1033,0.1318,110.18,18,6.4
1/2/2025,Southeast,SO02,CUST_RET_Q1,Customer Retargeting,Social,Desktop,Lapsed,5980.76,12968.84,18949.6,1472,1316,156,183,135,-48,114185.89,95236.29,86.77,75,14347,0.47,17066,774,0.0454,1.7003,116.19,0,8.9
1/2/2025,West,WE03,INC_Q1_BONUS,Winter Shopper Incentive,Email,Desktop,Returning,9864.57,3994.54,13859.11,1315,1268,47,234,341,107,35680.29,21821.18,28.14,108,29373.35,0.44,33252,4933,0.1484,0.257,72.28,14,7.5
1/2/2025,West,WE03,LOYALTY_Q1,Loyalty Rewards,Email,Desktop,Lapsed,7440.38,9740.7,17181.08,1746,1731,15,410,381,-29,184896.49,167715.41,106.81,229,47685.37,0.63,45608,4495,0.0986,0.3851,34.72,29,8.8
1/2/2025,West,WE02,NEW_USER_Q1,New User Acquisition,Paid Search,Desktop,Returning,8514.85,8171.99,16686.84,744,664,80,427,496,69,13322.46,-3364.38,20.06,121,14851.49,0.68,38632,601,0.0156,1.1048,98.67,13,7.9
1/3/2025,Midwest,MI01,LOYALTY_Q1,Loyalty Rewards,Referral,Mobile,Lapsed,3763.82,9640.18,13404,1904,1766,138,179,316,137,176662.96,163258.96,100.04,36,7561.51,0.36,35503,3590,0.1011,0.4919,77.97,57,7
1/3/2025,Northeast,NO04,NEW_USER_Q1,New User Acquisition,Social,Desktop,New,6980.84,7554.16,14535,1188,1168,20,301,263,-38,30145.14,15610.14,25.81,127,31178.99,0.53,58134,7381,0.127,0.1582,31.32,36,8.7
1/3/2025,Southeast,SO03,CUST_RET_Q1,Customer Retargeting,Paid Search,Desktop,Lapsed,7315.92,7656.66,14972.58,1353,1167,186,136,126,-10,119098.43,104125.85,102.06,307,57478.81,0.31,72139,6557,0.0909,0.178,57.71,47,8.5
1/3/2025,Northeast,NO02,LOYALTY_Q1,Loyalty Rewards,Email,Desktop,Lapsed,8469.11,10394.18,18863.29,1376,1359,17,144,110,-34,68526.47,49663.18,50.42,125,9768.45,0.44,71990,1434,0.0199,0.9477,61.48,49,7.9
1/3/2025,West,WE04,LOYALTY_Q1,Loyalty Rewards,Paid Search,Mobile,Returning,3950.93,12115.09,16066.02,1753,1653,100,351,400,49,166142.59,150076.57,100.51,198,46768.84,0.47,16896,1119,0.0662,1.4772,90.64,57,7.8
1/3/2025,West,WE01,CUST_RET_Q1,Customer Retargeting,Referral,Desktop,Returning,8627.74,6856.08,15483.82,1462,1317,145,287,370,83,91828.34,76344.52,69.73,365,29143.52,0.4,46178,4432,0.096,0.2972,59.32,70,7.7
1/3/2025,Northeast,NO01,CUST_RET_Q1,Customer Retargeting,Email,Mobile,New,4765.86,7430.25,12196.11,248,243,5,204,319,115,17035.28,4839.17,70.1,327,50791.35,0.7,64370,3815,0.0593,0.0637,70.15,6,6.6
1/3/2025,West,WE01,CUST_RET_Q1,Customer Retargeting,Referral,Mobile,New,7778.49,14054.22,21832.71,1237,1187,50,480,532,52,85274.04,63441.33,71.84,343,95618.4,0.38,10476,475,0.0453,2.4989,66.6,30,7.3
1/3/2025,Northeast,NO03,LOYALTY_Q1,Loyalty Rewards,Referral,Mobile,Lapsed,6857.94,2005.4,8863.34,1918,1689,229,154,195,41,104079.06,95215.72,61.62,198,38990.66,0.36,14453,1881,0.1301,0.8979,40.57,79,6.8
1/3/2025,Southeast,SO01,LOYALTY_Q1,Loyalty Rewards,Email,Desktop,New,925.14,5150.17,6075.31,1768,1756,12,63,62,-1,89514.79,83439.48,50.98,78,18688.97,0.33,50997,5646,0.1107,0.311,60.25,47,7.6
1/3/2025,West,WE01,NEW_USER_Q1,New User Acquisition,Email,Desktop,Lapsed,3358.73,3339.88,6698.61,569,491,78,418,516,98,12484.72,5786.11,25.43,352,62339.73,0.29,66464,1154,0.0174,0.4255,35.34,6,7.4
