EmployeeID,Survey_Date,Engagement_Score,Job_Satisfaction,Benefits_Satisfaction,Manager_Rating
1,7/6/2023,5,1,3,3
2,11/21/2023,2,1,4,5
3,11/14/2023,1,5,4,4
4,1/29/2024,4,1,2,5
5,1/14/2024,3,1,3,4
6,12/5/2024,4,2,2,2
7,4/18/2024,2,3,5,1
8,11/30/2024,3,1,1,2
9,1/18/2023,2,4,5,5
10,5/29/2023,3,2,3,4
11,7/11/2024,4,3,5,1
12,1/12/2023,4,2,3,4
13,4/6/2024,5,4,2,4
14,9/16/2024,2,3,4,1
15,6/9/2023,4,5,5,1
16,11/25/2024,3,5,5,2
17,7/20/2024,1,2,4,3
18,9/23/2023,1,5,5,1
19,6/30/2024,1,3,5,3
20,3/21/2023,5,4,1,3
21,6/1/2024,4,4,1,3
22,9/30/2024,2,5,4,3
23,3/9/2023,2,1,2,1
24,12/2/2024,5,1,5,4
25,9/1/2023,3,1,5,1
26,1/9/2023,4,5,2,1
27,6/6/2023,4,5,5,5
28,8/5/2024,3,5,2,5
29,4/8/2024,3,3,4,2
30,10/7/2024,4,1,4,3
31,10/27/2023,4,2,2,3
32,11/16/2023,1,3,2,5
33,9/6/2023,2,3,3,4
34,11/19/2023,1,5,1,2
35,7/9/2024,1,5,1,4
36,9/19/2024,2,3,5,5
37,4/6/2024,5,5,5,4
38,2/2/2024,5,1,2,3
39,1/28/2024,5,3,2,5
40,8/16/2023,5,3,1,4
41,7/22/2024,3,3,5,2
42,9/1/2023,1,5,1,2
43,2/26/2023,3,3,4,1
44,5/23/2023,3,2,1,5
45,7/11/2023,2,2,1,5
46,6/2/2024,5,1,2,5
47,2/8/2024,4,3,5,3
48,10/2/2023,5,3,4,3
49,10/7/2024,1,5,1,5
50,2/8/2023,3,4,1,4
51,7/12/2023,1,4,2,3
52,11/23/2023,3,3,3,5
53,4/27/2024,3,1,5,3
54,1/25/2023,3,2,5,1
55,4/12/2023,4,3,5,2
56,10/24/2024,5,3,1,1
57,8/5/2023,3,1,1,5
58,9/24/2023,2,1,1,2
59,6/11/2023,3,4,3,4
60,10/14/2023,5,3,1,5
61,11/8/2024,5,3,5,4
62,9/4/2023,4,5,5,4
63,6/23/2023,3,2,2,3
64,1/31/2024,2,5,3,3
65,1/9/2023,4,5,4,2
66,3/23/2024,4,2,1,2
67,7/24/2024,3,3,4,3
68,8/19/2024,3,4,1,2
69,10/23/2024,4,2,3,1
70,11/17/2023,4,1,3,5
71,7/25/2024,4,3,5,1
72,5/5/2023,1,2,3,5
73,2/10/2023,4,2,4,3
74,12/3/2023,5,2,4,1
75,11/15/2024,2,4,3,4
76,11/22/2023,2,5,4,1
77,11/15/2024,3,5,1,2
78,7/5/2023,4,2,2,1
79,8/29/2023,2,2,5,3
80,12/5/2023,2,5,2,3
81,4/4/2023,5,4,4,2
82,2/20/2024,5,3,5,5
83,3/4/2023,1,5,2,2
84,6/3/2024,1,2,2,5
85,12/25/2024,2,4,4,3
86,7/28/2023,3,4,5,3
87,7/28/2023,2,2,5,5
88,1/11/2024,3,1,2,1
89,3/26/2023,2,4,5,1
90,7/26/2023,5,5,5,2
91,12/13/2023,4,1,1,3
92,10/26/2024,2,3,4,1
93,6/10/2023,1,5,4,3
94,3/25/2024,3,2,1,2
95,4/26/2023,3,1,2,4
96,12/28/2023,2,5,3,3
97,9/8/2023,3,4,2,4
98,7/2/2023,1,2,1,3
99,11/6/2024,5,1,5,5
100,11/24/2023,4,4,1,4
101,8/14/2024,4,2,4,5
102,1/7/2023,3,2,5,5
103,8/21/2024,2,1,2,2
104,6/3/2024,3,1,5,2
105,1/22/2024,1,1,4,1
106,1/5/2024,2,5,1,4
107,7/1/2024,5,2,2,1
108,9/3/2024,1,3,3,4
109,3/20/2023,5,4,3,2
110,8/9/2023,2,1,1,2
111,12/8/2024,5,2,2,2
112,8/21/2024,1,4,2,4
113,7/23/2024,1,3,5,2
114,2/16/2024,3,4,1,1
115,4/23/2024,2,3,5,5
